,Epoch,Neurons,batch size,learning rate,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
31,35.0,50.0,150.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
32,35.0,50.0,150.0,0.01,0.7708080808080808,0.9041466346153846,0.6067755595886267,0.7032866707242849,0.935438170410848
33,50.0,50.0,150.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
34,50.0,50.0,150.0,0.1,0.7719191919191919,0.8933877075444218,0.6184714660213753,0.7074377609401578,0.9259259259259259
35,50.0,50.0,150.0,0.01,0.7568686868686869,0.9178127046496398,0.5652349263964509,0.6850715746421268,0.9492005666869054
36,5.0,50.0,200.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
37,5.0,50.0,200.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
38,5.0,50.0,200.0,0.01,0.7734343434343435,0.9472990777338604,0.5799556362169792,0.696532634032634,0.9676178911151588
39,20.0,50.0,200.0,1.0,0.5311111111111111,0.9731343283582089,0.0657390602944142,0.5156299006795609,0.9981785063752276
40,20.0,50.0,200.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
41,20.0,50.0,200.0,0.01,0.7406060606060606,0.8918387413962635,0.5486993345432547,0.6732369689005694,0.9332119004250152
42,35.0,50.0,200.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
43,35.0,50.0,200.0,0.1,0.7637373737373737,0.7394005847953217,0.8158903004638032,0.7938121047877146,0.7113944545638534
44,35.0,50.0,200.0,0.01,0.7616161616161616,0.8726699168339547,0.6136317806009276,0.7012318727584593,0.9101396478445659
45,50.0,50.0,200.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
46,50.0,50.0,200.0,0.1,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
47,50.0,50.0,200.0,0.01,0.752020202020202,0.9126565589980224,0.55837870538415,0.6810369938829013,0.9463671321594819
48,5.0,50.0,250.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
49,5.0,50.0,250.0,0.1,0.8188888888888889,0.8760095011876484,0.7436983262754587,0.7766256590509666,0.8943533697632058
50,5.0,50.0,250.0,0.01,0.7712121212121212,0.828696925329429,0.6848154869933454,0.7306101344364012,0.8579234972677595
51,20.0,50.0,250.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
52,20.0,50.0,250.0,0.1,0.7824242424242425,0.7607361963190185,0.8251663641863279,0.8082282680822827,0.7395264116575592
53,20.0,50.0,250.0,0.01,0.7380808080808081,0.8722466960352423,0.558983666061706,0.6746504016661707,0.9178303987047156
54,35.0,50.0,250.0,1.0,0.5009090909090909,0.5009090909090909,1.0,0.404,0.0
55,35.0,50.0,250.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
56,35.0,50.0,250.0,0.01,0.7762626262626262,0.8891094724900738,0.632183908045977,0.7138374647003451,0.9208662214126695
57,50.0,50.0,250.0,1.0,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
58,50.0,50.0,250.0,0.1,0.7184848484848485,0.7454792043399638,0.6650534381931841,0.6966764061358656,0.7721109087229305
59,50.0,50.0,250.0,0.01,0.737979797979798,0.9162266807462162,0.524904214559387,0.666241677291401,0.9518316130337988
60,5.0,50.0,300.0,1.0,0.5821212121212122,0.5475474317445627,0.9544262956241177,0.8200636942675159,0.20845982594616475
61,5.0,50.0,300.0,0.1,0.4990909090909091,0.404,0.0,0.4990909090909091,1.0
62,5.0,50.0,300.0,0.01,0.7902020202020202,0.9356106408706167,0.6241177656785643,0.7172330097087378,0.9568913175470553
63,20.0,50.0,300.0,1.0,0.5011111111111111,0.5010103051121438,1.0,1.0,0.0004047763610605141
